job_title,company_name,company_location,Job_link,post_date
Data Analytics,Page Personnel,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-analytics-at-page-personnel-3497008113?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=OAm3taPv9Sjn8ipFWQ3r%2BQ%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-02-23
Data Scientist _ Optimization,Falabella,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-optimization-at-falabella-3541942592?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=8XyPv1HPO0bJYThXKThrQA%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-03-29
Ingeniero de datos JR,axity,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ingeniero-de-datos-jr-at-axity-3464433649?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=ySoZsR88oZ30Kx0JBml7Ig%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-02-03
Data Scientist (Python/SQL) (Remote) (7750 USD/Mes),Listopro,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-python-sql-remote-7750-usd-mes-at-listopro-3565041087?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=966b%2BpAAGk41vXWKbpy23g%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-04-15
Digital Data Scientist - Las Condes,Progestion Chile,"Las Condes, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/digital-data-scientist-las-condes-at-progestion-chile-3490357167?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=i9Ossfd%2BERjlMlsnGD3yrw%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-01-30
Data Engineers,Fuerza Laboral,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-engineers-at-fuerza-laboral-3564339836?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=w2Q7Bu63isIkv9QaipFOlA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-04-13
Ingeniero de Datos (Python),TCIT Cloud Solutions,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ingeniero-de-datos-python-at-tcit-cloud-solutions-3499211773?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=A%2F%2BKEEgfuH70UY3qPEl4gA%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-02-24
Analista Gobierno de datos,KTI Hunter,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-gobierno-de-datos-at-kti-hunter-3557879885?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=vY75E0G7kh1H2eyUf0zbJA%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-04-07
Analista de Datos,KPaz,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-kpaz-3570308104?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=4h0o%2BO0GxUYXDGiG2HDVWQ%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-04-14
Data Engineer/Big Data – Contrato Indefinido.,BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-engineer-big-data-%E2%80%93-contrato-indefinido-at-bc-tecnolog%C3%ADa-3560874968?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=GWOEsZ2pQ4iL7iy0Y0DfnA%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-04-11
Data Analyst,Variacode,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-analyst-at-variacode-3551660730?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=RrVPy6XWMB1YPIY%2F%2FYHlsg%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-04-06
"Analista Data Analytics, Gerencia Walmart Tech",Walmart Chile,"Quilicura, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-data-analytics-gerencia-walmart-tech-at-walmart-chile-3504188142?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=XBHtSqU8%2FBe0Plzks5lMwA%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-03-03
Analista de Datos - Exp. en Python,Kibernum,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-exp-en-python-at-kibernum-3482727152?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=z6rl7otHgbFTtzWHUO2kmw%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-02-15
